City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,xiaoweizhai,26.1903,107.5125,280.74,73,90,1.15,CN,1670423197
85,saravan,39.7196,45.6483,271.06,84,99,1.11,AM,1670423197
86,jamestown,42.097,-79.2353,280.95,77,100,0.89,US,1670423074
87,batemans bay,-35.7167,150.1833,287.53,94,60,2.39,AU,1670423198
88,albany,42.6001,-73.9662,286.72,93,100,1.82,US,1670422913
89,takoradi,4.8845,-1.7554,303.12,64,100,4.74,GH,1670423198
90,buchanan,5.8808,-10.0467,300.47,77,96,3.1,LR,1670423199
91,kavieng,-2.5744,150.7967,300.83,76,100,4.76,PG,1670423199
92,ust-kut,56.7938,105.7672,260.71,91,100,5.41,RU,1670423199
93,luderitz,-26.6481,15.1594,293.15,61,0,9.98,NA,1670423200
94,namibe,-15.1961,12.1522,296.36,71,15,4.97,AO,1670423200
95,pulawy,51.4166,21.9694,275.21,96,100,2.24,PL,1670423200
96,avera,33.194,-82.5271,290.58,90,24,2.19,US,1670423201
97,tasiilaq,65.6145,-37.6368,269.24,84,75,2.07,GL,1670423201
98,macapa,0.0389,-51.0664,304.14,74,75,4.63,BR,1670423201
99,viesca,25.35,-102.8,290.56,56,6,0.61,MX,1670423201
100,lavrentiya,65.5833,-171.0,267.47,75,100,5.21,RU,1670423202
101,itoman,26.1247,127.6694,293.16,60,73,6.17,JP,1670423202
102,matagami,49.7502,-77.6328,264.21,92,100,1.03,CA,1670423202
103,spirit river,55.7833,-118.8361,254.39,95,83,0.29,CA,1670423203
104,zurrieq,35.8311,14.4742,291.88,82,20,2.57,MT,1670423203
105,te anau,-45.4167,167.7167,283.55,90,91,0.78,NZ,1670422962
106,geraldton,-28.7667,114.6,294.38,78,100,3.6,AU,1670423203
107,castro,-24.7911,-50.0119,298.72,63,43,2.79,BR,1670423204
108,lorengau,-2.0226,147.2712,299.74,82,99,3.57,PG,1670423204
109,vila franca do campo,37.7167,-25.4333,288.38,79,99,12.15,PT,1670423204
110,colquiri,-17.4167,-67.1333,275.58,86,100,1.75,BO,1670423205
111,kasongo-lunda,-6.4667,16.8167,298.75,65,100,3.14,CD,1670423205
112,vao,-22.6667,167.4833,297.6,86,96,3.44,NC,1670423205
113,mar del plata,-38.0023,-57.5575,298.61,75,0,8.75,AR,1670423206
114,swedru,5.5371,-0.6998,306.3,43,24,0.83,GH,1670423206
115,kruisfontein,-34.0033,24.7314,296.43,55,0,8.16,ZA,1670423206
116,nikolskoye,59.7035,30.7861,267.09,81,100,5.27,RU,1670423206
117,norman wells,65.282,-126.8329,235.17,67,20,2.57,CA,1670423207
118,henties bay,-22.116,14.2845,290.57,73,3,5.95,NA,1670423207
119,rawson,-43.3002,-65.1023,292.47,54,100,3.69,AR,1670423207
120,pizhanka,57.4604,48.542,261.34,90,98,4.24,RU,1670423208
121,cabo san lucas,22.8909,-109.9124,292.93,74,14,0.96,MX,1670422915
122,hirara,24.8,125.2833,295.9,72,96,13.16,JP,1670423208
123,asau,46.4333,26.4,276.66,86,100,1.82,RO,1670423208
124,saskylakh,71.9167,114.0833,232.21,100,39,1.83,RU,1670423208
125,comodoro rivadavia,-45.8667,-67.5,288.07,63,100,3.6,AR,1670423209
126,kavaratti,10.5669,72.642,300.97,72,100,2.81,IN,1670423209
127,road town,18.4167,-64.6167,301.2,65,40,3.6,VG,1670423209
128,paamiut,61.994,-49.6678,270.7,79,100,4.13,GL,1670423210
129,sao filipe,14.8961,-24.4956,297.28,74,4,2.8,CV,1670423210
130,belize,17.25,-88.75,296.27,94,15,0.5,BZ,1670422895
131,barra do garcas,-15.89,-52.2567,302.47,70,0,0.0,BR,1670423210
132,haukipudas,65.1765,25.3523,266.01,100,77,3.99,FI,1670423211
133,richards bay,-28.783,32.0377,302.32,62,41,7.4,ZA,1670423211
134,nantucket,41.2835,-70.0995,285.23,98,100,3.6,US,1670423192
135,panaba,21.2833,-88.2667,298.04,70,0,3.2,MX,1670423211
136,kununurra,-15.7667,128.7333,301.14,69,75,3.09,AU,1670423116
137,faanui,-16.4833,-151.75,299.65,78,95,7.46,PF,1670423212
138,port-cartier,50.0334,-66.8654,275.27,96,100,4.88,CA,1670423212
139,east london,-33.0153,27.9116,299.67,65,0,6.17,ZA,1670423212
140,vaini,-21.2,-175.2,297.24,94,20,1.03,TO,1670423213
141,adrar,20.5022,-10.0711,304.8,25,7,2.57,MR,1670423213
142,santa rosa,14.3122,121.1114,301.14,79,88,3.15,PH,1670423213
143,pevek,69.7008,170.3133,252.29,96,100,4.51,RU,1670423214
144,okha,53.5739,142.9478,257.67,90,96,5.87,RU,1670423214
145,casablanca,33.5928,-7.6192,295.16,60,75,4.12,MA,1670423060
146,kahului,20.8947,-156.47,298.06,77,0,9.26,US,1670423214
147,tucumcari,35.1717,-103.725,279.06,70,0,4.12,US,1670423178
148,aller,43.1187,-5.5839,282.95,70,90,0.36,ES,1670423215
149,upernavik,72.7868,-56.1549,267.78,84,94,3.59,GL,1670423215
150,katakwi,1.8911,33.9661,302.67,30,96,2.67,UG,1670423215
151,jalu,29.0331,21.5482,297.54,32,0,1.66,LY,1670423216
152,kishi,9.0833,3.85,308.49,12,3,2.55,NG,1670423216
153,cabedelo,-6.9811,-34.8339,303.52,65,66,6.49,BR,1670423216
154,bubaque,11.2833,-15.8333,300.17,54,2,2.06,GW,1670423217
155,longyearbyen,78.2186,15.6401,265.06,67,75,10.29,SJ,1670423217
156,sambo creek,15.8167,-86.6833,296.3,88,75,1.54,HN,1670423217
157,mayo,38.8876,-76.5119,286.15,95,100,0.45,US,1670423218
158,lompoc,34.6391,-120.4579,279.03,97,20,3.09,US,1670423218
159,puerto escondido,15.85,-97.0667,296.61,88,0,2.57,MX,1670423218
160,fortuna,40.5982,-124.1573,276.44,97,75,4.63,US,1670423218
161,airai,-8.9266,125.4092,289.02,83,83,0.71,TL,1670423219
162,vryburg,-26.9566,24.7284,294.19,57,83,8.13,ZA,1670423219
163,egvekinot,66.3167,-179.1667,251.66,100,99,1.67,RU,1670423219
164,abu kamal,34.4506,40.9171,290.22,46,12,2.57,SY,1670423220
165,freetown,8.484,-13.2299,303.99,70,40,4.12,SL,1670423220
166,lebu,-37.6167,-73.65,290.25,80,100,5.69,CL,1670423220
167,tuktoyaktuk,69.4541,-133.0374,249.15,70,100,5.14,CA,1670423220
168,naberera,-4.2,36.9333,300.12,37,67,6.15,TZ,1670423221
169,maarianhamina,60.0973,19.9348,268.07,93,20,1.54,AX,1670423221
170,ambikapur,23.1167,83.2,286.34,41,58,1.23,IN,1670423221
171,sunndalsora,62.6754,8.5515,267.06,91,100,4.12,NO,1670423222
172,lanxi,29.2195,119.477,283.01,91,100,1.32,CN,1670423222
173,georgetown,5.4112,100.3354,300.5,89,20,1.03,MY,1670423222
174,buique,-8.6231,-37.1558,301.36,33,6,3.57,BR,1670423223
175,talaya,61.3833,152.75,242.41,100,93,0.39,RU,1670423223
176,ahuimanu,21.4447,-157.8378,297.99,80,40,6.17,US,1670423223
177,camacha,33.0833,-16.3333,292.83,68,40,7.2,PT,1670423224
178,chuy,-33.6971,-53.4616,300.22,45,0,2.68,UY,1670423224
179,abu samrah,35.3029,37.1841,288.49,56,100,2.59,SY,1670423224
180,marawi,7.9986,124.2928,293.39,97,55,0.64,PH,1670423225
181,saint anthony,45.0205,-93.218,265.93,77,100,4.63,US,1670423225
182,dingle,10.9995,122.6711,296.24,88,73,2.97,PH,1670423225
183,kargasok,59.0556,80.8572,258.06,93,100,4.63,RU,1670423225
184,walvis bay,-22.9575,14.5053,295.68,49,0,5.14,NA,1670423226
185,islamkot,24.6997,70.177,296.0,16,0,3.48,PK,1670423226
186,christchurch,-43.5333,172.6333,284.26,70,20,8.23,NZ,1670423226
187,saint george,37.1041,-113.5841,276.48,87,75,0.0,US,1670423029
188,pisco,-13.7,-76.2167,293.18,83,75,4.12,PE,1670423116
189,zhangjiakou,40.81,114.8794,270.4,28,97,1.5,CN,1670423227
190,balkanabat,39.5108,54.3671,276.93,42,73,2.87,TM,1670423227
191,inyonga,-6.7167,32.0667,301.43,46,46,0.33,TZ,1670423228
192,polson,47.6936,-114.1632,271.2,93,92,1.88,US,1670423228
193,ponta do sol,32.6667,-17.1,294.1,85,56,7.77,PT,1670423228
194,katherine,-14.4667,132.2667,304.33,42,75,2.06,AU,1670423228
195,aksarayskiy,46.7924,48.0119,267.06,61,97,5.92,RU,1670423229
196,mahalapye,-23.1041,26.8142,299.9,51,100,4.24,BW,1670423229
197,jian,27.1172,114.9793,283.22,84,89,1.23,CN,1670423229
198,isangel,-19.55,169.2667,299.32,81,99,0.39,VU,1670423230
199,alofi,-19.0595,-169.9187,297.09,94,100,1.54,NU,1670423230
200,porto-vecchio,41.591,9.2795,289.96,55,0,6.69,FR,1670423230
201,srednekolymsk,67.45,153.6833,243.56,90,100,5.22,RU,1670423231
202,guerrero negro,27.9769,-114.0611,287.63,77,2,4.85,MX,1670423231
203,husavik,66.0449,-17.3389,269.75,88,100,1.19,IS,1670423231
204,mirnyy,62.5353,113.9611,258.84,77,100,4.02,RU,1670423232
205,bambous virieux,-20.3428,57.7575,300.29,78,75,5.66,MU,1670423232
206,alice springs,-23.7,133.8833,300.9,30,25,4.12,AU,1670423232
207,krasnoturansk,54.3186,91.5639,249.37,98,24,0.77,RU,1670423232
208,aranos,-24.1333,19.1167,309.05,6,2,6.29,NA,1670423233
209,college place,46.0493,-118.3883,270.25,91,100,0.45,US,1670423233
210,pangnirtung,66.1451,-65.7125,263.15,73,40,4.12,CA,1670423233
211,lianzhou,24.7811,112.3825,281.76,93,25,1.53,CN,1670423234
212,shiyan,32.6475,110.7781,279.19,62,8,0.09,CN,1670423234
213,kaitangata,-46.2817,169.8464,282.27,85,100,4.17,NZ,1670423234
214,sola,-13.8833,167.55,300.68,74,81,3.36,VU,1670423235
215,evanston,42.0411,-87.6901,277.15,94,100,1.54,US,1670423235
216,port elizabeth,-33.918,25.5701,295.55,79,40,10.29,ZA,1670423235
217,ponta delgada,37.7333,-25.6667,288.55,82,75,14.92,PT,1670423236
218,wichian buri,15.6578,101.106,297.49,71,22,1.98,TH,1670423236
219,glendive,47.1053,-104.7125,251.75,83,20,2.68,US,1670423236
220,talcahuano,-36.7167,-73.1167,288.97,94,100,4.63,CL,1670423237
221,merauke,-8.4667,140.3333,299.22,76,91,5.86,ID,1670423237
222,makakilo city,21.3469,-158.0858,297.33,74,0,6.17,US,1670423237
223,necochea,-38.5473,-58.7368,299.98,42,0,7.92,AR,1670423237
224,gwanda,-20.9333,29.0,302.02,43,78,5.32,ZW,1670423238
225,anadyr,64.75,177.4833,260.43,66,40,1.0,RU,1670423238
226,port-gentil,-0.7193,8.7815,302.13,74,40,3.6,GA,1670423239
227,puerto carreno,6.189,-67.4859,300.14,69,100,4.63,CO,1670423239
228,hamilton,39.1834,-84.5333,284.84,97,100,2.57,US,1670423196
229,biak,-0.9131,122.8766,298.41,72,90,1.31,ID,1670423239
230,saint-augustin,51.226,-58.6502,271.26,87,100,2.21,CA,1670423240
231,korgen,66.0771,13.8153,270.22,86,100,3.31,NO,1670423240
232,kulhudhuffushi,6.6221,73.07,300.29,75,100,2.25,MV,1670423240
233,grand gaube,-20.0064,57.6608,300.37,72,1,6.26,MU,1670423240
234,vytegra,61.0064,36.4481,267.18,76,97,5.1,RU,1670423241
235,oussouye,12.485,-16.5469,308.24,29,0,3.1,SN,1670423241
236,kharhial,20.2833,82.7667,290.28,46,54,1.28,IN,1670423241
237,sarh,9.1429,18.3923,308.82,12,1,2.61,TD,1670423242
238,haines junction,60.7522,-137.5108,260.12,85,100,1.54,CA,1670423242
239,vestmannaeyjar,63.4427,-20.2734,274.7,86,75,4.63,IS,1670423242
240,kenora,49.8167,-94.4337,245.8,76,20,3.09,CA,1670423243
241,kodiak,57.79,-152.4072,273.88,55,0,9.26,US,1670423243
242,nago,26.5881,127.9761,291.39,67,84,8.05,JP,1670423206
243,lower hutt,-41.2167,174.9167,285.1,77,100,3.09,NZ,1670423243
244,lima,-12.0432,-77.0282,296.98,70,100,4.63,PE,1670422589
245,serenje,-13.2325,30.2352,298.29,49,97,0.88,ZM,1670423244
246,yulara,-25.2406,130.9889,302.51,30,98,8.22,AU,1670423244
247,conway,35.0887,-92.4421,288.63,95,75,0.45,US,1670423176
248,bairiki,1.3292,172.9752,300.15,89,20,4.63,KI,1670423244
249,gobabis,-22.45,18.9667,307.09,7,3,8.49,NA,1670423245
250,qaanaaq,77.484,-69.3632,264.96,77,48,6.57,GL,1670423245
251,torbay,47.6666,-52.7314,276.8,97,100,4.12,CA,1670423245
252,wewak,-3.5534,143.6268,298.82,85,100,1.2,PG,1670423246
253,karachev,53.1229,34.9852,266.64,75,94,7.05,RU,1670423246
254,lao cai,22.4833,103.95,289.38,93,100,0.37,VN,1670423246
255,anderson,34.5334,-82.6499,286.02,99,100,1.54,US,1670423002
256,silver city,32.7701,-108.2803,280.17,84,0,3.09,US,1670423247
257,usak,38.5,29.4167,282.14,63,100,1.3,TR,1670423247
258,rovaniemi,66.5,25.7167,268.82,100,100,5.14,FI,1670423247
259,jensen beach,27.2545,-80.2298,299.85,75,40,3.6,US,1670423248
260,labuhan,-6.8844,112.2051,300.9,73,100,1.52,ID,1670423248
261,grindavik,63.8424,-22.4338,273.41,80,20,3.6,IS,1670423248
262,chapais,49.7834,-74.8492,271.03,98,100,1.56,CA,1670423248
263,yarensk,62.1675,49.0916,266.87,79,100,4.04,RU,1670423249
264,erenhot,43.6475,111.9767,263.2,52,19,2.71,CN,1670423249
